URL,Title,Visit Time,Visit Count,Visited From,Visit Type,Visit Duration,Web Browser,User Profile,Browser Profile,URL Length,Typed Count,History File,Record ID
blob:https://16m0vtj9335n5znbwpj4s4voot7idliw7jdplaqmqciz0ss23j-h742728486.scf.usercontent.goog/91a5ef50-6fa7-4b5c-b6dd-624e44bcc2fa#about,Gemini,08-04-2025 19:28:04,1,https://gemini.google.com/app/c6b3d71416ab11d6,,,Brave,LENOVO,Default,138,,C:\Users\LENOVO\AppData\Local\BraveSoftware\Brave-Browser\User Data\Default\History,45223
blob:https://16m0vtj9335n5znbwpj4s4voot7idliw7jdplaqmqciz0ss23j-h742728486.scf.usercontent.goog/91a5ef50-6fa7-4b5c-b6dd-624e44bcc2fa#how-it-works,Gemini,08-04-2025 19:28:05,1,https://gemini.google.com/app/c6b3d71416ab11d6,,,Brave,LENOVO,Default,145,,C:\Users\LENOVO\AppData\Local\BraveSoftware\Brave-Browser\User Data\Default\History,45224
file:///C:/,Index of C:\,29-03-2025 23:13:22,2,,,00:00:12.241,Brave,LENOVO,Default,11,,C:\Users\LENOVO\AppData\Local\BraveSoftware\Brave-Browser\User Data\Default\History,43710
file:///C:/,Index of C:\,29-03-2025 23:13:39,2,,,00:00:03.427,Brave,LENOVO,Default,11,,C:\Users\LENOVO\AppData\Local\BraveSoftware\Brave-Browser\User Data\Default\History,43714
file:///C:/$Recycle.Bin/,Index of C:\$Recycle.Bin\,29-03-2025 23:13:38,2,,,00:00:00.550,Brave,LENOVO,Default,24,,C:\Users\LENOVO\AppData\Local\BraveSoftware\Brave-Browser\User Data\Default\History,43713
file:///C:/$Recycle.Bin/,Index of C:\$Recycle.Bin\,29-03-2025 23:13:34,2,,,00:00:01.664,Brave,LENOVO,Default,24,,C:\Users\LENOVO\AppData\Local\BraveSoftware\Brave-Browser\User Data\Default\History,43711
file:///C:/$Recycle.Bin/S-1-5-21-2006153807-1145129256-3207143584-500/,Index of C:\$Recycle.Bin\S-1-5-21-2006153807-1145129256-3207143584-500\,29-03-2025 23:13:35,1,,,00:00:02.924,Brave,LENOVO,Default,70,,C:\Users\LENOVO\AppData\Local\BraveSoftware\Brave-Browser\User Data\Default\History,43712
file:///C:/Users/LENOVO/AppData/Local/Microsoft/Windows/INetCache/IE/0V77Y005/Default_Folder_20250319.pdf[1].pdf,Default_Folder_20250319.pdf[1].pdf,02-04-2025 23:08:08,1,,,00:00:18.767,Edge (Chromium-based),LENOVO,Default,112,,C:\Users\LENOVO\AppData\Local\Microsoft\Edge\User Data\Default\History,3679
file:///C:/Users/LENOVO/AppData/Local/Microsoft/Windows/INetCache/IE/893NBJ4S/Belarc%20Advisor%20-%20Computer%20Profile[1].html,Belarc Advisor - Computer Profile,04-04-2025 22:41:03,1,,,,Edge (Chromium-based),LENOVO,Default,127,,C:\Users\LENOVO\AppData\Local\Microsoft\Edge\User Data\Default\History,3882
file:///C:/Users/LENOVO/AppData/Local/Microsoft/Windows/INetCache/IE/893NBJ4S/Belarc%20Advisor%20-%20Computer%20Profile[1].html,Belarc Advisor - Computer Profile,04-04-2025 22:41:03,1,,Auto TopLevel,00:20:56.397,Chrome,LENOVO,Default,127,0,C:\Users\LENOVO\AppData\Local\Google\Chrome\User Data\Default\History,466
file:///C:/Users/LENOVO/AppData/Local/Microsoft/Windows/INetCache/IE/L7MAR3TA/Belarc%20Advisor%20-%20Computer%20Profile[1].html,Belarc Advisor - Computer Profile,01-04-2025 23:25:02,3,,Auto TopLevel,00:28:01.402,Chrome,LENOVO,Default,127,0,C:\Users\LENOVO\AppData\Local\Google\Chrome\User Data\Default\History,382
